English,French
Monday,Lundi
Tuesday,Mardi
Wednesday,Mercredi
Thursday,Jeudi
Friday,Vendredi
Saturday,Samedi
Sunday,Dimanche
January,Janvier
February,Février
March,Mars
April,Avril
May,Mai
June,Juin
July,Juillet
August,Août
September,Septembre
October,Octobre
November,Novembre
December,Décembre
Summer,Été
Fall,Automne
Winter,Hiver
Spring,Printemps
a week,une semaine
a day,un jour
a month,un mois
a year,un an
a decade,une décennie
a weekend,un week-end
a weekday,un jour de semaine
midnight,minuit
noon,midi
morning,matin
afternoon,après-midi
evening,soir
night,nuit
