English,French
hello,Bonjour
goodbye,au revoir
please,s'il te plaît
thanks,merci
yes,Oui
no,Non
water,eau
a bread,un pain
a time,un temps
a day,un jour
a year,un an
a house,une maison
a man,un homme
a woman,une femme
a child,un enfant
a life,une vie
a hand,une main
an eye,un oeil
a head,devant
a heart,un coeur
a world,un monde
a friend,un ami
a family,une famille
work,travail
a mother,une mère
a father,un père
a brother,un frère
a sister,une soeur
a book,un livre
a table,une table
a chair,une chaise
a door,une porte
a window,une fenêtre
be,être
have,avoir
do,faire
say,dire
go,aller
see,voir
know,savoir
get,obtenir
make,faire
come,viens
think,pense
take,prendre
give,donner
find,trouver
want,vouloir
tell,dire
use,utiliser
