English,French
morning,le matin
noon,le midi
afternoon,l’après-midi
evening,le soir
night,la nuit
midnight,minuit
share,reconter (aux. avoir)
get dressed,s'habiller (aux. être)
make / have / get,prendre (aux avoir)
go out / leave / exit,sortir (aux avoir)
return / go home / go back,rentrer (aux avoir)
rise,se lever
go to bed / retire,se coucher
wash / bathe,se laver (auxiliary être)
brush,se brosser (auxillary être)
make-up,se maquiller (auxillary être)
wake up / awaken,se réveiller (aux. être)
to her/his hair,se coiffer (aux. être)
go to bed / lie down,se coucher (aux. être)
take a shower,se doucher (aux. être)
get ready,se préparer (aux. être)
encounter,se heurter (aux. être)
discard / shake off,se débarrasser (aux. être)
rebound / stand up / recover,se redresser (aux. être)
happy,joyeux
dark / gloomy,sombre
beautiful,beau
amazing / awesome,génial
calm,calme
grand / great/ big,Ad
ugly,laid
sad,triste
null / bad,nul
loud / vocal,bruyant
bright / glowing,lumineux
little / tiny,petit
it's all good,ça y est
shared,partagé
@ the top,en haut
@ the bottom,en bas
the help (female - usually the maid),la bonne
it's boring ,c'est ennuyeux
they are boring,elle est ennuyeus
it's simple,c'est simple
place,mettre
against the wall,contre un mur
in the corner,dans les coins
in,dans
far away,loin de
nearby,prés de
to the left,à gauche (de)
to the right,à droite (de)
next to,à côte (de)
in front / ahead/  before,devant
behind / backside / rear,derrière
at the end / at the bottom,au fond (de)
under / below,sous
on / over,sur
next to,À côté de
by / on the edge of,Au bord de
below,Au-dessous de
above,Au-dessus de
in the middle of,Au milieu de
facing – in front of,En face de
far from,Loin de
near,Près de
