English,French
Monday,Lundi
Tuesday,Mardi
Wednesday,Mercredi
Thursday,Jeudi
Friday,Vendredi
Saturday,Samedi
Sunday,Dimanche
January,Janvier
February,Février
March,Mars
April,Avril
May,Mai
June,Juin
July,Juillet
August,Août
September,Septembre
October,Octobre
November,Novembre
December,Décembre
Summer,Été
Fall,Automne
Winter,Hiver
Spring,Printemps
a week,une semaine
a day,un jour
a month,un mois
a year,un an
a decade,une décennie
the weekend,fin de semaine
the weekday,jour de la semaine
